Address,Unit#,City,State,Zip,County,FIPS,APN#
2470 N LINDEN,,CHICAGO,IL,60647,Cook,17031,13253200200000
516 N OGDEN AVE,137,CHICAGO,IL,60642,Cook,17031,13253250160000
101 BREVARD RD,,ASHEVILLE,NC,28806,Cook,17031,13253250501003
2435 N KEDZIE BLVD 2S,,CHICAGO,IL,60647,Cook,17031,13253250501005
2435 N KEDZIE BLVD#3,,CHICAGO,IL,60647,Cook,17031,13253250501007
2437 N KEDZIE BLVD#1N,,CHICAGO,IL,60647,Cook,17031,13253250501004
2437 N KEDZIE BLVD#2N,,CHICAGO,IL,60647,Cook,17031,13253250501006
2437 N KEDZIE 3,,CHICAGO,IL,60647,Cook,17031,13253250501008
3723 N HERMITAGE AVE,,CHICAGO,IL,60613,Cook,17031,13253200190000
2407 N ALBANY,,CHICAGO,IL,60647,Cook,17031,13253200610000
2458 N LINDEN PL#1F,,CHICAGO,IL,60647,Cook,17031,13253200841001
2458 N LINDEN PL#1R,,CHICAGO,IL,60647,Cook,17031,13253200841002
2458 N LINDEN PL,APT 2,CHICAGO,IL,60647,Cook,17031,13253200841003
2458 N LINDEN PL,APT 3,CHICAGO,IL,60647,Cook,17031,13253200841004
2515 N SACRAMENTO,,CHICAGO,IL,60647,Cook,17031,13253200440000
6204 W IRVING PARK RD,,CHICAGO,IL,60634,Cook,17031,13253200260000
4339 W FULLERTON AVE,,CHICAGO,IL,60639,Cook,17031,13253250040000
659 W ARLINGTON PL,,CHICAGO,IL,60614,Cook,17031,13253250050000
2439 N KEDZIE BLVD#1,,CHICAGO,IL,60647,Cook,17031,13253250491017
739 W BELMONT AVE 208,,CHICAGO,IL,60657,Cook,17031,13253250491018
2441 N KEDZIE,1,CHICAGO,IL,60647,Cook,17031,13253250491014
2441 N KEDZIE,3,CHICAGO,IL,60647,Cook,17031,13253250491016
43 PARK LANE,,GOLF,IL,60029,Cook,17031,13253250491013
1651 N DAYTON ST#100,,CHICAGO,IL,60614,Cook,17031,13253250491010
2700 N HAMPDEN CT#23C,,CHICAGO,IL,60614,Cook,17031,13253250491011
2443 N KEDZIE BLVD#12,,CHICAGO,IL,60647,Cook,17031,13253250491012
2467 N ALBANY,,CHICAGO,IL,60647,Cook,17031,13253200430000
2476 N ALBANY AVE#1,,CHICAGO,IL,60647,Cook,17031,13253250491001
937 ROBIN DR,,BATAVIA,IL,60510,Cook,17031,13253250491002
2476 N ALBANY AVE#3,,CHICAGO,IL,60647,Cook,17031,13253250491003
348 University Lane,,ELK GRV VLG,IL,60007,Cook,17031,13253250491004
5254 W BERENICE AVE,,CHICAGO,IL,60641,Cook,17031,13253250491005
2478 N ALBANY AV,3,CHICAGO,IL,60647,Cook,17031,13253250491006
2480 N ALBANY AVE#1,,CHICAGO,IL,60647,Cook,17031,13253250491007
2480 N ALBANY AVE,8,CHICAGO,IL,60647,Cook,17031,13253250491008
2480 N ALBANY AVE#3,,CHICAGO,IL,60647,Cook,17031,13253250491009
3848 HUTSON AVENUE,,NASHVILLE,TN,37216,Cook,17031,13361000330000
3931 E 8TH ST,,VANCOUVER,WA,98661,Cook,17031,13361000341001
3125 W FULLERTON AVE20,,CHICAGO,IL,60647,Cook,17031,13361000341002
3125 W FULLERTON AVE20,,CHICAGO,IL,60647,Cook,17031,13361000341003
3125 W FULLERTON AVE20,,CHICAGO,IL,60647,Cook,17031,13361000341004
3125 W FULLERTON AVE20,,CHICAGO,IL,60647,Cook,17031,13361000341005
3125 W FULLERTON AVE20,,CHICAGO,IL,60647,Cook,17031,13361000341006
3125 W FULLERTON AVE20,,CHICAGO,IL,60647,Cook,17031,13361000341007
3125 W FULLERTON,209,CHICAGO,IL,60647,Cook,17031,13361000341008
203 N GADSDEN DR,,MILPITAS,CA,95035,Cook,17031,13361000341009
3125 W FULLERTON AVE21,,CHICAGO,IL,60647,Cook,17031,13361000341010
3125 W FULLERTON AVE21,,CHICAGO,IL,60647,Cook,17031,13361000341011
3125 W FULLERTON AVE21,,CHICAGO,IL,60647,Cook,17031,13361000341012
3125 W FULLERTON AVE,,CHICAGO,IL,60647,Cook,17031,13361000341013
3125 W FULLERTON AVE21,,CHICAGO,IL,60647,Cook,17031,13361000341014
1325 E CHRISTINA CT,,ARLINGTN HTS,IL,60004,Cook,17031,13361000341015
3125 W FULLERTON AVE21,,CHICAGO,IL,60647,Cook,17031,13361000341016
3125 W FULLERTON AVE21,,CHICAGO,IL,60647,Cook,17031,13361000341017
3125 W FULLERTON,220,CHICAGO,IL,60647,Cook,17031,13361000341018
3125 W FULLERTON AVE22,,CHICAGO,IL,60647,Cook,17031,13361000341019
3125 W FULLERTON AVE,,CHICAGO,IL,60647,Cook,17031,13361000341020
3125 W Fullerton Av302,,CHICAGO,IL,60647,Cook,17031,13361000341021
1106 N SHORE CT,,BARRINGTON,IL,60010,Cook,17031,13361000341022
3125 W FULLERTON AVE30,,CHICAGO,IL,60647,Cook,17031,13361000341023
1029 ROSEMARY TERRACE,,DEERFIELD,IL,60015,Cook,17031,13361000341024
3125 W FULLERTON,306,CHICAGO,IL,60647,Cook,17031,13361000341025
2313 GREENWOOD ROAD,,GLENVIEW,IL,60026,Cook,17031,13361000341026
3125 W FULLERTON AVE30,,CHICAGO,IL,60647,Cook,17031,13361000341027
6726 FOREST PRESERVE,,HARWOOD HTS,IL,60706,Cook,17031,13361000341028
3125 W FULLERTON AVE31,,CHICAGO,IL,60647,Cook,17031,13361000341029
3125 W FULLERTON AVE31,,CHICAGO,IL,60647,Cook,17031,13361000341030
906 SURF LANE,,VERO BEACH,FL,32963,Cook,17031,13361000341031
2454 W BERENICE AVE,,CHICAGO,IL,60618,Cook,17031,13361000341032
3125 W FULLERTON AVE31,,CHICAGO,IL,60647,Cook,17031,13361000341033
3125 W FULLERTON,316,CHICAGO,IL,60647,Cook,17031,13361000341034
3125 W FULLERTON AVE31,,CHICAGO,IL,60647,Cook,17031,13361000341035
1425 W CUYLER AVE,,CHICAGO,IL,60613,Cook,17031,13361000341036
3125 W FULLERTON AVE31,,CHICAGO,IL,60647,Cook,17031,13361000341037
3125 W FULLERTON AVE32,,CHICAGO,IL,60647,Cook,17031,13361000341038
3125 W FULLERTON AVE32,,CHICAGO,IL,60647,Cook,17031,13361000341039
3125 W FULLERTON,401,CHICAGO,IL,60647,Cook,17031,13361000341040
3125 W FULLERTON AVE40,,CHICAGO,IL,60647,Cook,17031,13361000341041
3125 W FULLERTON,403,CHICAGO,IL,60647,Cook,17031,13361000341042
3125 W FULLERTON,,CHICAGO,IL,60647,Cook,17031,13361000341043
3125 W FULLERTON AVE40,,CHICAGO,IL,60647,Cook,17031,13361000341044
3125 W FULLERTON,406,CHICAGO,IL,60647,Cook,17031,13361000341045
8200 N GOLF DR,,PARADISE VLY,AZ,85253,Cook,17031,13361000341046
3125 W FULLERTON AVE40,,CHICAGO,IL,60647,Cook,17031,13361000341047
3125 W FULLERTON AVE40,,CHICAGO,IL,60647,Cook,17031,13361000341048
3125 W FULLERTON AVE41,,CHICAGO,IL,60647,Cook,17031,13361000341049
3125 W FULLERTON AVE41,,CHICAGO,IL,60647,Cook,17031,13361000341050
77 MILLER RD,,HAWTHORN WDS,IL,60047,Cook,17031,13361000341051
3125 W FULLERTON AVE41,,CHICAGO,IL,60647,Cook,17031,13361000341052
3125 W FULLERTON 415,,CHICAGO,IL,60647,Cook,17031,13361000341053
PO BOX 47228,,CHICAGO,IL,60647,Cook,17031,13361000341054
104 WOODSTOCK AVENUE,,CLARENDN HLS,IL,60514,Cook,17031,13361000341055
3125 W FULLERTON AVE41,,CHICAGO,IL,60647,Cook,17031,13361000341056
3125 W FULLERTON AVE41,,CHICAGO,IL,60647,Cook,17031,13361000341057
3125 W FULLERTON AVE,,CHICAGO,IL,60647,Cook,17031,13361000341058
3125 W FULLERTON AVE42,,CHICAGO,IL,60647,Cook,17031,13361000341059
3125 W FULLERTON 501,,CHICAGO,IL,60647,Cook,17031,13361000341060
3125 W FULLERTON AVE50,,CHICAGO,IL,60647,Cook,17031,13361000341061
3125 W FULLERTON AVE50,,CHICAGO,IL,60647,Cook,17031,13361000341062
3125 W FULLERTON 504,,CHICAGO,IL,60647,Cook,17031,13361000341063
3125 W FULLERTON AVE50,,CHICAGO,IL,60647,Cook,17031,13361000341064
3125 W FULLERTON,506,CHICAGO,IL,60647,Cook,17031,13361000341065
3125 W FULLERTON AVE50,,CHICAGO,IL,60647,Cook,17031,13361000341066
3125 W Fullerton Av508,,CHICAGO,IL,60647,Cook,17031,13361000341067
39W205 OSAGE DR,,CAMPTON HLS,IL,60175,Cook,17031,13361000341068
501 N CLINTON,APT 2104,CHICAGO,IL,60654,Cook,17031,13361000341069
3125 WEST FULLERTON,,CHICAGO,IL,60647,Cook,17031,13361000341070
3125 W FULLERTON AVE51,,CHICAGO,IL,60647,Cook,17031,13361000341071
3125 W FULLERTON,514,CHICAGO,IL,60647,Cook,17031,13361000341072
2945 ROSLYN LANE,,BUFFALO GRV,IL,60089,Cook,17031,13361000341073
3125 W FULLERTON AVE51,,CHICAGO,IL,60647,Cook,17031,13361000341074
3125 W FULLERTON AVE51,,CHICAGO,IL,60647,Cook,17031,13361000341075
3125 W FULLERTON AVE51,,CHICAGO,IL,60647,Cook,17031,13361000341076
3125 W FULLERTON,519,CHICAGO,IL,60647,Cook,17031,13361000341077
3125 W FULLERTON AVE52,,CHICAGO,IL,60647,Cook,17031,13361000341078
3125 W FULLERTON AVE52,,CHICAGO,IL,60647,Cook,17031,13361000341079
1035 E FRONT ST,,TRAVERSE CIT,MI,49686,Cook,17031,13253200420000
835 N RUSH STREET,,CHICAGO,IL,60611,Cook,17031,13361000180000
2434 N LINDEN PL#2,,CHICAGO,IL,60647,Cook,17031,13253200851002
2436 N LINDEN PL#2,,CHICAGO,IL,60647,Cook,17031,13253200851004
2438 N LINDEN PL#2,,CHICAGO,IL,60647,Cook,17031,13253200851006
2440 NORTH LINDEN,1,CHICAGO,IL,60647,Cook,17031,13253200851007
2440 N LINDEN PL#2,,CHICAGO,IL,60647,Cook,17031,13253200851008
4026 N KILBOURN AVE,,CHICAGO,IL,60641,Cook,17031,13253200851012
835 N RUSH STREET,,CHICAGO,IL,60611,Cook,17031,13361000190000
3153 W FULLERTON AVE,,CHICAGO,IL,60647,Cook,17031,13361000010000
2349 N KEDZIE,,CHICAGO,IL,60647,Cook,17031,13361000020000
2473 N ALBANY AVE,,CHICAGO,IL,60647,Cook,17031,13253200400000
2349 N KEDZIE,,CHICAGO,IL,60647,Cook,17031,13361000030000
6304 N RIDGEWAY AVE,,CHICAGO,IL,60659,Cook,17031,13253200280000
2428 N FRANCISCO AVE,,CHICAGO,IL,60647,Cook,17031,13253200120000
PO BOX 47496,,CHICAGO,IL,60647,Cook,17031,13361010420000
1643 N MILWAUKEE AVE,,CHICAGO,IL,60647,Cook,17031,13361000040000
600 W JACKSON,600,CHICAGO,IL,60661,Cook,17031,13253140730000
2532 N LINDEN PL 2,,CHICAGO,IL,60647,Cook,17031,13253200891002
3043 W. FULLERTON AVE.,,CHICAGO,IL,60647,Cook,17031,13361010431001
2445 N ALBANY AVE,,CHICAGO,IL,60647,Cook,17031,13253200510000
