sr_number,raw_address,house,direction,street_name,street_type,address_key
SR19-01371523,2337 W ROSCOE ST,2337,W,ROSCOE,ST,2337 W ROSCOE ST
SR19-01883709,,,,,,
SR20-04412885,11361 S ADA ST,11361,S,ADA,ST,11361 S ADA ST
SR19-02119969,,,,,,
SR19-01129871,13610 S brainer ST,13610,S,BRAINER,ST,13610 S BRAINER ST
SR19-02167559,1144 N SPAULDING AVE,1144,N,SPAULDING,AVE,1144 N SPAULDING AVE
SR20-03297596,4304 W NORTH AVE,4304,W,NORTH,AVE,4304 W NORTH AVE
SR19-01184637,4230 S MICHIGAN AVE,4230,S,MICHIGAN,AVE,4230 S MICHIGAN AVE
SR19-01804336,,,,,,
SR19-02536728,3048 E 130TH ST,3048,E,130TH,ST,3048 E 130TH ST
SR19-03036610,4040 N PONTIAC AVE,4040,N,PONTIAC,AVE,4040 N PONTIAC AVE
SR21-00362053,621 W BELMONT AVE,621,W,BELMONT,AVE,621 W BELMONT AVE
SR19-02822067,1937 W DIVERSEY PKWY,1937,W,DIVERSEY,PKWY,1937 W DIVERSEY PKWY
SR19-02316046,3200 W 81ST ST,3200,W,81ST,ST,3200 W 81ST ST
SR19-02926367,3729 W 59TH PL,3729,W,59TH,PL,3729 W 59TH PL
SR20-03453743,929 N LOREL AVE,929,N,LOREL,AVE,929 N LOREL AVE
SR20-04714767,4427 W MONTANA ST,4427,W,MONTANA,ST,4427 W MONTANA ST
SR20-03891851,3935 W 77TH ST,3935,W,77TH,ST,3935 W 77TH ST
SR20-04900999,1217 W 49TH PL,1217,W,49TH,PL,1217 W 49TH PL
SR19-02654235,2120 W WASHINGTON BLVD,2120,W,WASHINGTON,BLVD,2120 W WASHINGTON BLVD
SR22-01902436,5535 S KOLIN AVE,5535,S,KOLIN,AVE,5535 S KOLIN AVE
SR19-01839389,,,,,,
SR19-02137633,,,,,,
SR20-03330557,1245 N MAYFIELD AVE,1245,N,MAYFIELD,AVE,1245 N MAYFIELD AVE
SR20-05315112,7124 N CLARK ST,7124,N,CLARK,ST,7124 N CLARK ST
SR19-01488171,8605 S ADA ST,8605,S,ADA,ST,8605 S ADA ST
SR19-01021711,2102 S china place ST,2102,S,CHINA PLACE,ST,2102 S CHINA PLACE ST
SR21-00219765,2509 N CLYBOURN AVE,2509,N,CLYBOURN,AVE,2509 N CLYBOURN AVE
SR19-02456493,7507 W FOSTER AVE,7507,W,FOSTER,AVE,7507 W FOSTER AVE
SR21-01582872,2441 W CORTEZ ST,2441,W,CORTEZ,ST,2441 W CORTEZ ST
SR19-01985122,2347 W ALTGELD ST,2347,W,ALTGELD,ST,2347 W ALTGELD ST
SR21-00817314,2229 N MANGO AVE,2229,N,MANGO,AVE,2229 N MANGO AVE
SR21-02233230,1531 N WELLS ST,1531,N,WELLS,ST,1531 N WELLS ST
SR19-01244311,Cermak N Western AVE,CERMAK,N,WESTERN,AVE,CERMAK N WESTERN AVE
SR19-02276440,,,,,,
SR19-02091795,901 W 31ST ST,901,W,31ST,ST,901 W 31ST ST
SR22-00425428,1380 E HYDE PARK BLVD,1380,E,HYDE PARK,BLVD,1380 E HYDE PARK BLVD
SR19-02123072,,,,,,
SR21-01555259,4054 W 115TH ST,4054,W,115TH,ST,4054 W 115TH ST
SR19-02788659,4831 S ADA ST,4831,S,ADA,ST,4831 S ADA ST
SR21-00171803,921 E 40TH ST,921,E,40TH,ST,921 E 40TH ST
SR19-02555160,3500 E 111TH ST,3500,E,111TH,ST,3500 E 111TH ST
SR19-02825252,4543 N KNOX AVE,4543,N,KNOX,AVE,4543 N KNOX AVE
SR19-02538313,5537 W MELROSE ST,5537,W,MELROSE,ST,5537 W MELROSE ST
SR19-02068023,,,,,,
SR21-01693994,819 W HUBBARD ST,819,W,HUBBARD,ST,819 W HUBBARD ST
SR21-02209467,900 N LAKE SHORE DR,900,N,LAKE SHORE,DR,900 N LAKE SHORE DR
SR19-01632449,,,,,,
SR20-05487520,816 E 90TH PL,816,E,90TH,PL,816 E 90TH PL
SR19-01522127,1316 W 107TH ST,1316,W,107TH,ST,1316 W 107TH ST
SR19-01795495,,,,,,
SR19-01897468,,,,,,
SR19-02473358,2044 W ROSCOE ST,2044,W,ROSCOE,ST,2044 W ROSCOE ST
SR22-00606137,7419 N OCTAVIA AVE,7419,N,OCTAVIA,AVE,7419 N OCTAVIA AVE
SR19-01225269,1432 N WALLER AVE,1432,N,WALLER,AVE,1432 N WALLER AVE
SR19-02261094,4059 W HIRSCH ST,4059,W,HIRSCH,ST,4059 W HIRSCH ST
SR19-01062678,,,,,,
SR21-00676648,3041 N KEATING AVE,3041,N,KEATING,AVE,3041 N KEATING AVE
SR19-01890509,,,,,,
SR20-05608809,3720 W 86TH PL,3720,W,86TH,PL,3720 W 86TH PL
SR19-02454358,10957 S PULASKI RD,10957,S,PULASKI,RD,10957 S PULASKI RD
SR19-02432593,5969 W OHIO ST,5969,W,OHIO,ST,5969 W OHIO ST
SR20-05202336,1354 W EARLY AVE,1354,W,EARLY,AVE,1354 W EARLY AVE
SR19-01354825,2121 N MOZART ST,2121,N,MOZART,ST,2121 N MOZART ST
SR19-02089720,,,,,,
SR21-00139428,2 E 102ND ST,2,E,102ND,ST,2 E 102ND ST
SR19-02316465,,,,,,
SR19-01332079,6102 N SHERIDAN RD,6102,N,SHERIDAN,RD,6102 N SHERIDAN RD
SR21-01364031,2239 W IOWA ST,2239,W,IOWA,ST,2239 W IOWA ST
SR19-02820915,6040 W WRIGHTWOOD AVE,6040,W,WRIGHTWOOD,AVE,6040 W WRIGHTWOOD AVE
SR20-03803771,75 E 75TH ST,75,E,75TH,ST,75 E 75TH ST
SR19-02619094,5221 W SCHUBERT AVE,5221,W,SCHUBERT,AVE,5221 W SCHUBERT AVE
SR20-05684712,4943 W POLK ST,4943,W,POLK,ST,4943 W POLK ST
SR19-02010513,,,,,,
SR22-00576679,4600 S WOOD ST,4600,S,WOOD,ST,4600 S WOOD ST
SR22-00812261,4120 N CLARK ST,4120,N,CLARK,ST,4120 N CLARK ST
SR19-02407872,322 W 104TH ST,322,W,104TH,ST,322 W 104TH ST
SR22-01673312,2140 W CUYLER AVE,2140,W,CUYLER,AVE,2140 W CUYLER AVE
SR20-03597718,3458 W 61ST PL,3458,W,61ST,PL,3458 W 61ST PL
SR19-03096171,6451 S HARLEM AVE,6451,S,HARLEM,AVE,6451 S HARLEM AVE
SR21-00457493,2326 W WALTON ST,2326,W,WALTON,ST,2326 W WALTON ST
SR20-03996961,5205 W DRUMMOND PL,5205,W,DRUMMOND,PL,5205 W DRUMMOND PL
SR20-05430377,3841 W 47TH ST,3841,W,47TH,ST,3841 W 47TH ST
SR20-04093251,6344 S VERNON AVE,6344,S,VERNON,AVE,6344 S VERNON AVE
SR20-04864898,5709 S MOZART ST,5709,S,MOZART,ST,5709 S MOZART ST
SR19-01657260,3324 N ODELL AVE,3324,N,ODELL,AVE,3324 N ODELL AVE
SR19-03040262,100 E WALTON ST,100,E,WALTON,ST,100 E WALTON ST
SR21-01555188,7100 N ODELL AVE,7100,N,ODELL,AVE,7100 N ODELL AVE
SR21-00262042,5035 N LAWNDALE AVE,5035,N,LAWNDALE,AVE,5035 N LAWNDALE AVE
SR19-01948390,5059 W NELSON ST,5059,W,NELSON,ST,5059 W NELSON ST
SR19-01907864,1513 N PAULINA ST,1513,N,PAULINA,ST,1513 N PAULINA ST
SR20-04441821,2800 W TAYLOR ST,2800,W,TAYLOR,ST,2800 W TAYLOR ST
SR19-02243212,3000 W 40TH PL,3000,W,40TH,PL,3000 W 40TH PL
SR20-04460484,3701 S WOOD ST,3701,S,WOOD,ST,3701 S WOOD ST
SR22-01674482,59 W 112TH PL,59,W,112TH,PL,59 W 112TH PL
SR19-01795850,5858 N SHERIDAN RD,5858,N,SHERIDAN,RD,5858 N SHERIDAN RD
SR22-00640979,,,,,,
SR21-00464124,4635 S DREXEL BLVD,4635,S,DREXEL,BLVD,4635 S DREXEL BLVD
SR22-01280618,6853 W 64TH ST,6853,W,64TH,ST,6853 W 64TH ST
SR22-02166245,4233 N BROADWAY,4233,N,BROADWAY,,4233 N BROADWAY
SR19-01329269,2325 E 68TH ST,2325,E,68TH,ST,2325 E 68TH ST
SR19-01967186,,,,,,
SR19-01084376,3833 W.EDDY W EDDY ST,3833WEDDY,W,EDDY,ST,3833WEDDY W EDDY ST
SR19-02063436,3218 W FLOURNOY ST,3218,W,FLOURNOY,ST,3218 W FLOURNOY ST
SR21-01767168,6509 S BELL AVE,6509,S,BELL,AVE,6509 S BELL AVE
SR22-01215451,,,,,,
SR21-00132297,3248 W 55TH ST,3248,W,55TH,ST,3248 W 55TH ST
SR21-00265005,2726 W MAYPOLE AVE,2726,W,MAYPOLE,AVE,2726 W MAYPOLE AVE
SR21-00857385,7538 S WOOD ST,7538,S,WOOD,ST,7538 S WOOD ST
SR22-01315113,5441 W RICE ST,5441,W,RICE,ST,5441 W RICE ST
SR22-01519888,2430 N CANNON DR,2430,N,CANNON,DR,2430 N CANNON DR
SR20-04852900,3047 W 111TH ST,3047,W,111TH,ST,3047 W 111TH ST
SR21-01359478,4137 W BARRY AVE,4137,W,BARRY,AVE,4137 W BARRY AVE
SR19-01999137,3715 W CORNELIA AVE,3715,W,CORNELIA,AVE,3715 W CORNELIA AVE
SR19-01079737,4898 N lavernge AVE,4898,N,LAVERNGE,AVE,4898 N LAVERNGE AVE
SR20-03871289,1047 N HARDING AVE,1047,N,HARDING,AVE,1047 N HARDING AVE
SR23-01052963,2345 N SOUTHPORT AVE,2345,N,SOUTHPORT,AVE,2345 N SOUTHPORT AVE
SR22-00142333,1415 W LILL AVE,1415,W,LILL,AVE,1415 W LILL AVE
SR21-01693634,3536 N PANAMA AVE,3536,N,PANAMA,AVE,3536 N PANAMA AVE
SR19-01957357,3030 N BROADWAY,3030,N,BROADWAY,,3030 N BROADWAY
SR19-01346312,5932 S PULASKI RD,5932,S,PULASKI,RD,5932 S PULASKI RD
SR21-01185113,3921 N MOZART ST,3921,N,MOZART,ST,3921 N MOZART ST
SR20-05449121,3806 N NORDICA AVE,3806,N,NORDICA,AVE,3806 N NORDICA AVE
SR19-02941975,6345 S EVANS AVE,6345,S,EVANS,AVE,6345 S EVANS AVE
SR19-01909430,,,,,,
SR22-01695127,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR20-04710849,855 N WOLCOTT AVE,855,N,WOLCOTT,AVE,855 N WOLCOTT AVE
SR20-03632388,7046 S PERRY AVE,7046,S,PERRY,AVE,7046 S PERRY AVE
SR19-01857336,,,,,,
SR19-01854299,,,,,,
SR22-01709988,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR19-02195089,,,,,,
SR22-01608764,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR19-01975562,3900 N CHRISTIANA AVE,3900,N,CHRISTIANA,AVE,3900 N CHRISTIANA AVE
SR22-01658256,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR21-00736860,737 W BELDEN AVE,737,W,BELDEN,AVE,737 W BELDEN AVE
SR20-03384608,8505 S KINGSTON AVE,8505,S,KINGSTON,AVE,8505 S KINGSTON AVE
SR20-03958227,5245 W CARMEN AVE,5245,W,CARMEN,AVE,5245 W CARMEN AVE
SR21-01689587,4153 W ROSCOE ST,4153,W,ROSCOE,ST,4153 W ROSCOE ST
SR21-01289303,10 S WACKER DR,10,S,WACKER,DR,10 S WACKER DR
SR21-02196722,3927 N PARIS AVE,3927,N,PARIS,AVE,3927 N PARIS AVE
SR22-01709976,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR22-01608232,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR22-01675636,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR19-02615232,4900 S LARAMIE AVE,4900,S,LARAMIE,AVE,4900 S LARAMIE AVE
SR19-01990865,,,,,,
SR19-01895866,7200 W HOWARD ST,7200,W,HOWARD,ST,7200 W HOWARD ST
SR22-01662453,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR20-03430012,2625 N BURLING ST,2625,N,BURLING,ST,2625 N BURLING ST
SR20-05512596,420 W WRIGHTWOOD AVE,420,W,WRIGHTWOOD,AVE,420 W WRIGHTWOOD AVE
SR20-03956003,1817 W THOMAS ST,1817,W,THOMAS,ST,1817 W THOMAS ST
SR20-05441906,3816 W MYRICK ST,3816,W,MYRICK,ST,3816 W MYRICK ST
SR22-01654698,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR21-00507742,6337 W HENDERSON ST,6337,W,HENDERSON,ST,6337 W HENDERSON ST
SR20-04382267,11419 S MAY ST,11419,S,MAY,ST,11419 S MAY ST
SR19-01576391,1652 W HURON ST,1652,W,HURON,ST,1652 W HURON ST
SR21-02085038,,,,,,
SR22-01731526,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR22-00840354,5104 S LARAMIE AVE,5104,S,LARAMIE,AVE,5104 S LARAMIE AVE
SR19-01962686,,,,,,
SR19-01893392,,,,,,
SR22-01715330,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR19-01664276,1732 W ALBION AVE,1732,W,ALBION,AVE,1732 W ALBION AVE
SR20-04513989,5521 W HIGGINS AVE,5521,W,HIGGINS,AVE,5521 W HIGGINS AVE
SR20-04079947,3144 W LAKE ST,3144,W,LAKE,ST,3144 W LAKE ST
SR22-01658493,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR22-00423068,719 W HUBBARD ST,719,W,HUBBARD,ST,719 W HUBBARD ST
SR21-01045306,2743 W CORTEZ ST,2743,W,CORTEZ,ST,2743 W CORTEZ ST
SR20-05520544,4517 W 79TH PL,4517,W,79TH,PL,4517 W 79TH PL
SR19-01560267,2855 W 21ST PL,2855,W,21ST,PL,2855 W 21ST PL
SR20-04809131,2154 N LARAMIE AVE,2154,N,LARAMIE,AVE,2154 N LARAMIE AVE
SR19-01251345,8700 S KILDARE AVE,8700,S,KILDARE,AVE,8700 S KILDARE AVE
SR22-01667139,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR19-02618098,3000 W FULLERTON AVE,3000,W,FULLERTON,AVE,3000 W FULLERTON AVE
SR22-01720064,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR20-03503238,2156 W MONROE ST,2156,W,MONROE,ST,2156 W MONROE ST
SR20-03719859,2719 W HADDON AVE,2719,W,HADDON,AVE,2719 W HADDON AVE
SR19-00969952,2630 W IRVING PARK RD,2630,W,IRVING PARK,RD,2630 W IRVING PARK RD
SR19-01183931,5900 S nottingham ST,5900,S,NOTTINGHAM,ST,5900 S NOTTINGHAM ST
SR19-03039709,15 W HUBBARD ST,15,W,HUBBARD,ST,15 W HUBBARD ST
SR22-01651812,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR22-01696175,869 W BUENA AVE,869,W,BUENA,AVE,869 W BUENA AVE
SR20-04594011,6144 N INDIAN RD,6144,N,INDIAN,RD,6144 N INDIAN RD
SR19-03183319,875 N MICHIGAN AVE,875,N,MICHIGAN,AVE,875 N MICHIGAN AVE
SR21-01930653,4415 N AVERS AVE,4415,N,AVERS,AVE,4415 N AVERS AVE
SR20-04177322,850 N HOYNE AVE,850,N,HOYNE,AVE,850 N HOYNE AVE
SR19-02598436,4844 N LINCOLN AVE,4844,N,LINCOLN,AVE,4844 N LINCOLN AVE
SR20-03888108,1425 W OLIVE AVE,1425,W,OLIVE,AVE,1425 W OLIVE AVE
SR19-01845107,,,,,,
SR21-01877424,4414 N WHIPPLE ST,4414,N,WHIPPLE,ST,4414 N WHIPPLE ST
SR19-01589769,,,,,,
SR20-03923308,1525 N WELLS ST,1525,N,WELLS,ST,1525 N WELLS ST
SR20-04481048,8648 S TRIPP AVE,8648,S,TRIPP,AVE,8648 S TRIPP AVE
SR22-01703419,1854 W CHASE AVE,1854,W,CHASE,AVE,1854 W CHASE AVE
SR19-01598300,3535 N LINDER AVE,3535,N,LINDER,AVE,3535 N LINDER AVE
SR22-00293646,1551 W 33RD ST,1551,W,33RD,ST,1551 W 33RD ST
SR20-05195063,3042 N KNOX AVE,3042,N,KNOX,AVE,3042 N KNOX AVE
SR23-00072891,3758 W 58TH ST,3758,W,58TH,ST,3758 W 58TH ST
SR19-02363801,1644 W NELSON ST,1644,W,NELSON,ST,1644 W NELSON ST
SR19-01712479,5623 N MAJOR AVE,5623,N,MAJOR,AVE,5623 N MAJOR AVE
SR21-01324512,69 E WACKER PL,69,E,WACKER,PL,69 E WACKER PL
SR21-00106007,6806 S BELL AVE,6806,S,BELL,AVE,6806 S BELL AVE
SR22-00011786,4301 W 47TH ST,4301,W,47TH,ST,4301 W 47TH ST
SR22-01343282,628 N RACINE AVE,628,N,RACINE,AVE,628 N RACINE AVE
SR20-05392286,2719 N MEADE AVE,2719,N,MEADE,AVE,2719 N MEADE AVE
SR20-03364986,5128 S MAJOR AVE,5128,S,MAJOR,AVE,5128 S MAJOR AVE
SR21-00971934,310 W 108TH PL,310,W,108TH,PL,310 W 108TH PL
SR20-05728178,4917 N KENMORE AVE,4917,N,KENMORE,AVE,4917 N KENMORE AVE
SR19-01692254,3305 N LAVERGNE AVE,3305,N,LAVERGNE,AVE,3305 N LAVERGNE AVE
SR20-04223213,3024 N DAVLIN CT,3024,N,DAVLIN,CT,3024 N DAVLIN CT
SR19-01844274,,,,,,
SR20-04654968,13008 S N,13008,S,N,,13008 S N
SR19-01326777,4919 W BARRY AVE,4919,W,BARRY,AVE,4919 W BARRY AVE
SR20-04155913,29 W GARFIELD BLVD,29,W,GARFIELD,BLVD,29 W GARFIELD BLVD
SR19-03058220,4366 W OGDEN AVE,4366,W,OGDEN,AVE,4366 W OGDEN AVE
SR19-03008091,4253 N AVERS AVE,4253,N,AVERS,AVE,4253 N AVERS AVE
SR19-01164770,4400 W ROSEMONT ST,4400,W,ROSEMONT,ST,4400 W ROSEMONT ST
SR22-00009098,10719 S STATE LINE RD,10719,S,STATE LINE,RD,10719 S STATE LINE RD
SR20-03606699,8212 S GREEN ST,8212,S,GREEN,ST,8212 S GREEN ST
SR21-01900664,1511 W ERIE ST,1511,W,ERIE,ST,1511 W ERIE ST
SR21-00225102,8749 S ADA ST,8749,S,ADA,ST,8749 S ADA ST
SR19-01378849,8743 S BURLEY AVE,8743,S,BURLEY,AVE,8743 S BURLEY AVE
SR19-01610731,,,,,,
SR21-02047247,9301 S ADA ST,9301,S,ADA,ST,9301 S ADA ST
SR19-01914634,11000 S SANGAMON ST,11000,S,SANGAMON,ST,11000 S SANGAMON ST
SR21-01546312,,,,,,
SR19-02220142,,,,,,
SR20-05131995,5310 W DIVISION ST,5310,W,DIVISION,ST,5310 W DIVISION ST
SR20-03899284,4215 W 87TH ST,4215,W,87TH,ST,4215 W 87TH ST
SR20-05275254,4870 W CONCORD PL,4870,W,CONCORD,PL,4870 W CONCORD PL
SR22-00009091,10631 S STATE LINE RD,10631,S,STATE LINE,RD,10631 S STATE LINE RD
SR21-00830828,13111 S BUFFALO AVE,13111,S,BUFFALO,AVE,13111 S BUFFALO AVE
SR20-05318583,4844 W RICE ST,4844,W,RICE,ST,4844 W RICE ST
SR21-02178758,4306 N MEADE AVE,4306,N,MEADE,AVE,4306 N MEADE AVE
SR22-02173850,5356 N SAWYER AVE,5356,N,SAWYER,AVE,5356 N SAWYER AVE
SR20-03381591,4027 W CERMAK RD,4027,W,CERMAK,RD,4027 W CERMAK RD
SR19-01894976,,,,,,
SR19-02000629,2440 N HARLEM AVE,2440,N,HARLEM,AVE,2440 N HARLEM AVE
SR22-01599021,9904 S WINSTON AVE,9904,S,WINSTON,AVE,9904 S WINSTON AVE
SR22-01806897,4820 S INDIANA AVE,4820,S,INDIANA,AVE,4820 S INDIANA AVE
SR22-00644209,2853 E 97TH ST,2853,E,97TH,ST,2853 E 97TH ST
SR22-01126807,1858 W 35TH ST,1858,W,35TH,ST,1858 W 35TH ST
SR20-05208280,646 N MICHIGAN AVE,646,N,MICHIGAN,AVE,646 N MICHIGAN AVE
SR24-00642215,1042 W ALTGELD ST,1042,W,ALTGELD,ST,1042 W ALTGELD ST
SR20-05391766,2933 W WILCOX ST,2933,W,WILCOX,ST,2933 W WILCOX ST
SR19-01018568,128th S Michigan or Indiana AVE,128TH,S,MICHIGAN OR INDIANA,AVE,128TH S MICHIGAN OR INDIANA AVE
SR19-01076358,10300 S STONY ISLAND AVE,10300,S,STONY ISLAND,AVE,10300 S STONY ISLAND AVE
SR22-00748897,5274 S ARCHER AVE,5274,S,ARCHER,AVE,5274 S ARCHER AVE
SR19-02204916,3937 W 64TH ST,3937,W,64TH,ST,3937 W 64TH ST
SR21-01397403,6706 S CICERO AVE,6706,S,CICERO,AVE,6706 S CICERO AVE
SR19-01917281,,,,,,
SR21-01702446,617 E 92ND ST,617,E,92ND,ST,617 E 92ND ST
SR21-01390907,4448 S HOMAN AVE,4448,S,HOMAN,AVE,4448 S HOMAN AVE
SR20-03496529,5749 S MENARD AVE,5749,S,MENARD,AVE,5749 S MENARD AVE
SR22-02189086,5356 N SAWYER AVE,5356,N,SAWYER,AVE,5356 N SAWYER AVE
SR22-00264931,1333 W TAYLOR ST,1333,W,TAYLOR,ST,1333 W TAYLOR ST
SR19-02787710,1429 W 18TH ST,1429,W,18TH,ST,1429 W 18TH ST
SR19-02619158,555 W MADISON ST,555,W,MADISON,ST,555 W MADISON ST
SR22-02110372,726 W 55TH ST,726,W,55TH,ST,726 W 55TH ST
SR20-04122225,505 E 91ST ST,505,E,91ST,ST,505 E 91ST ST
SR20-04213536,2433 S AVERS AVE,2433,S,AVERS,AVE,2433 S AVERS AVE
SR20-04332192,1336 W 112TH ST,1336,W,112TH,ST,1336 W 112TH ST
SR23-00571825,9513 S N,9513,S,N,,9513 S N
SR22-01162959,7948 S GREENWOOD AVE,7948,S,GREENWOOD,AVE,7948 S GREENWOOD AVE
SR20-04193346,3515 W FLOURNOY ST,3515,W,FLOURNOY,ST,3515 W FLOURNOY ST
SR22-02109416,810 W KINZIE ST,810,W,KINZIE,ST,810 W KINZIE ST
SR21-00661454,44 W 15TH ST,44,W,15TH,ST,44 W 15TH ST
SR22-01576029,10726 S BELL AVE,10726,S,BELL,AVE,10726 S BELL AVE
SR21-01626345,1949 N FRANCISCO AVE,1949,N,FRANCISCO,AVE,1949 N FRANCISCO AVE
SR19-02923791,3859 W MAYPOLE AVE,3859,W,MAYPOLE,AVE,3859 W MAYPOLE AVE
SR20-05700139,2837 W 21ST ST,2837,W,21ST,ST,2837 W 21ST ST
SR22-01197717,7752 S EVANS AVE,7752,S,EVANS,AVE,7752 S EVANS AVE
SR19-01188619,Cicero,,,,,
SR19-01131570,6754 N Northwest Highway Highway HWY,6754,N,NORTHWEST HIGHWAY HIGHWAY,HWY,6754 N NORTHWEST HIGHWAY HIGHWAY HWY
SR20-03536739,624 E 75TH ST,624,E,75TH,ST,624 E 75TH ST
SR21-00598873,3101 W 38TH ST,3101,W,38TH,ST,3101 W 38TH ST
SR19-02849547,2106 W RACE AVE,2106,W,RACE,AVE,2106 W RACE AVE
SR20-04357229,2630 E 87TH ST,2630,E,87TH,ST,2630 E 87TH ST
SR20-05136013,11516 S YALE AVE,11516,S,YALE,AVE,11516 S YALE AVE
SR20-04384127,11049 S O,11049,S,O,,11049 S O
SR19-01651272,,,,,,
SR22-00487117,9059 S CRANDON AVE,9059,S,CRANDON,AVE,9059 S CRANDON AVE
SR21-00295630,2023 N LAVERGNE AVE,2023,N,LAVERGNE,AVE,2023 N LAVERGNE AVE
SR23-00729933,3553 W 80TH ST,3553,W,80TH,ST,3553 W 80TH ST
SR20-03341047,4770 W GRAND AVE,4770,W,GRAND,AVE,4770 W GRAND AVE
SR20-05304159,3101 W 38TH ST,3101,W,38TH,ST,3101 W 38TH ST
SR23-00542405,1639 W WRIGHTWOOD AVE,1639,W,WRIGHTWOOD,AVE,1639 W WRIGHTWOOD AVE
SR24-01012207,6146 S MOZART ST,6146,S,MOZART,ST,6146 S MOZART ST
SR20-04383909,7658 S COLES AVE,7658,S,COLES,AVE,7658 S COLES AVE
SR21-00963242,7646 S MARQUETTE AVE,7646,S,MARQUETTE,AVE,7646 S MARQUETTE AVE
SR20-05374635,3801 N ASHLAND AVE,3801,N,ASHLAND,AVE,3801 N ASHLAND AVE
SR21-00044289,3433 N OSAGE AVE,3433,N,OSAGE,AVE,3433 N OSAGE AVE
SR19-01893654,7953 S MERRILL AVE,7953,S,MERRILL,AVE,7953 S MERRILL AVE
SR20-04849248,532 N LONG AVE,532,N,LONG,AVE,532 N LONG AVE
SR19-01961843,4914 W MONROE ST,4914,W,MONROE,ST,4914 W MONROE ST
